M0	BOS/EOS,*,*,*,*,*,*
X55	助動詞,*,*,*,形容詞・イ段,文語基本形,らしい
X56	助動詞,*,*,*,形容詞・イ段,文語基本形,無い
X57	助動詞,*,*,*,形容詞・イ段,未然ウ接続,らしい
X58	助動詞,*,*,*,形容詞・イ段,未然ウ接続,無い
X59	助動詞,*,*,*,形容詞・イ段,未然ヌ接続,らしい
X60	助動詞,*,*,*,形容詞・イ段,未然ヌ接続,無い
X61	助動詞,*,*,*,形容詞・イ段,連用ゴザイ接続,らしい
X62	助動詞,*,*,*,形容詞・イ段,連用ゴザイ接続,無い
X63	助動詞,*,*,*,形容詞・イ段,連用タ接続,らしい
X64	助動詞,*,*,*,形容詞・イ段,連用タ接続,無い
X65	助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい
X66	助動詞,*,*,*,形容詞・イ段,連用テ接続,無い
X67	助動詞,*,*,*,文語・キ,体言接続,き
X68	助動詞,*,*,*,文語・キ,命令ｅ,き
X69	助動詞,*,*,*,文語・キ,基本形,き
X70	助動詞,*,*,*,文語・ケリ,体言接続,けり
X71	助動詞,*,*,*,文語・ケリ,基本形,けり
X72	助動詞,*,*,*,文語・ゴトシ,体言接続,ごとし
X73	助動詞,*,*,*,文語・ゴトシ,体言接続,如し
X74	助動詞,*,*,*,文語・ゴトシ,基本形,ごとし
X75	助動詞,*,*,*,文語・ゴトシ,基本形,如し
X76	助動詞,*,*,*,文語・ゴトシ,連用形,ごとし
X77	助動詞,*,*,*,文語・ゴトシ,連用形,如し
X78	助動詞,*,*,*,文語・ナリ,仮定形,たり
X79	助動詞,*,*,*,文語・ナリ,仮定形,なり
X80	助動詞,*,*,*,文語・ナリ,体言接続,たり
X81	助動詞,*,*,*,文語・ナリ,体言接続,なり
X82	助動詞,*,*,*,文語・ナリ,体言接続,タリ
X83	助動詞,*,*,*,文語・ナリ,命令ｅ,たり
X84	助動詞,*,*,*,文語・ナリ,命令ｅ,なり
X85	助動詞,*,*,*,文語・ナリ,基本形,たり
X86	助動詞,*,*,*,文語・ナリ,基本形,なり
X87	助動詞,*,*,*,文語・ナリ,未然形,たり
X88	助動詞,*,*,*,文語・ナリ,未然形,なり
X89	助動詞,*,*,*,文語・ベシ,仮定形,べし
X90	助動詞,*,*,*,文語・ベシ,体言接続,べし
X91	助動詞,*,*,*,文語・ベシ,基本形,べし
X92	助動詞,*,*,*,文語・ベシ,基本形,ベシ
X93	助動詞,*,*,*,文語・ベシ,未然形,べし
X94	助動詞,*,*,*,文語・ベシ,連用形,べし
X95	助動詞,*,*,*,文語・マジ,仮定形,まじ
X96	助動詞,*,*,*,文語・マジ,体言接続,まじ
X97	助動詞,*,*,*,文語・マジ,基本形,まじ
X98	助動詞,*,*,*,文語・マジ,連用形,まじ
X99	助動詞,*,*,*,文語・リ,体言接続,り
X100	助動詞,*,*,*,文語・リ,基本形,り
X101	助動詞,*,*,*,文語・ル,仮定形,る
X102	助動詞,*,*,*,文語・ル,体言接続,る
X103	助動詞,*,*,*,文語・ル,命令ｅ,る
X104	助動詞,*,*,*,文語・ル,命令ｙｏ,る
X105	助動詞,*,*,*,文語・ル,基本形,る
X106	助動詞,*,*,*,文語・ル,未然形,る
X107	助動詞,*,*,*,文語・ル,連用形,る
X108	助動詞,*,*,*,特殊・ジャ,基本形,じゃ
X109	助動詞,*,*,*,特殊・ジャ,未然形,じゃ
X110	助動詞,*,*,*,特殊・ジャ,連用形,じゃ
X111	助動詞,*,*,*,特殊・タ,仮定形,た
X112	助動詞,*,*,*,特殊・タ,仮定形,だ
X113	助動詞,*,*,*,特殊・タ,基本形,た
X114	助動詞,*,*,*,特殊・タ,基本形,だ
X115	助動詞,*,*,*,特殊・タ,未然形,た
X116	助動詞,*,*,*,特殊・タ,未然形,だ
X117	助動詞,*,*,*,特殊・タイ,ガル接続,たい
X118	助動詞,*,*,*,特殊・タイ,仮定形,たい
X119	助動詞,*,*,*,特殊・タイ,仮定縮約１,たい
X120	助動詞,*,*,*,特殊・タイ,仮定縮約２,たい
X121	助動詞,*,*,*,特殊・タイ,体言接続,たい
X122	助動詞,*,*,*,特殊・タイ,基本形,たぁい
X123	助動詞,*,*,*,特殊・タイ,基本形,たい
X124	助動詞,*,*,*,特殊・タイ,基本形,たーい
X125	助動詞,*,*,*,特殊・タイ,基本形,た～い
X126	助動詞,*,*,*,特殊・タイ,文語基本形,たい
X127	助動詞,*,*,*,特殊・タイ,未然ウ接続,たい
X128	助動詞,*,*,*,特殊・タイ,未然ヌ接続,たい
X129	助動詞,*,*,*,特殊・タイ,連用ゴザイ接続,たい
X130	助動詞,*,*,*,特殊・タイ,連用タ接続,たい
X131	助動詞,*,*,*,特殊・タイ,連用テ接続,たい
X132	助動詞,*,*,*,特殊・タイ,音便基本形,たい
X133	助動詞,*,*,*,特殊・ダ,仮定形,だ
X134	助動詞,*,*,*,特殊・ダ,体言接続,だ
X135	助動詞,*,*,*,特殊・ダ,命令ｅ,だ
X136	助動詞,*,*,*,特殊・ダ,基本形,だ
X137	助動詞,*,*,*,特殊・ダ,未然形,だ
X138	助動詞,*,*,*,特殊・ダ,連用タ接続,だ
X139	助動詞,*,*,*,特殊・ダ,連用形,だ
X140	助動詞,*,*,*,特殊・デス,基本形,っす
X141	助動詞,*,*,*,特殊・デス,基本形,でぇす
X142	助動詞,*,*,*,特殊・デス,基本形,でしょう
X143	助動詞,*,*,*,特殊・デス,基本形,です
X144	助動詞,*,*,*,特殊・デス,基本形,でっす
X145	助動詞,*,*,*,特殊・デス,基本形,でーす
X146	助動詞,*,*,*,特殊・デス,基本形,で～す
X147	助動詞,*,*,*,特殊・デス,基本形,どす
X148	助動詞,*,*,*,特殊・デス,基本形,ッス
X149	助動詞,*,*,*,特殊・デス,基本形,デス
X150	助動詞,*,*,*,特殊・デス,基本形,ドス
X151	助動詞,*,*,*,特殊・デス,未然形,っす
X152	助動詞,*,*,*,特殊・デス,未然形,でぇす
X153	助動詞,*,*,*,特殊・デス,未然形,でしょう
X154	助動詞,*,*,*,特殊・デス,未然形,です
X155	助動詞,*,*,*,特殊・デス,未然形,でっす
X156	助動詞,*,*,*,特殊・デス,未然形,でーす
X157	助動詞,*,*,*,特殊・デス,未然形,で～す
X158	助動詞,*,*,*,特殊・デス,未然形,どす
X159	助動詞,*,*,*,特殊・デス,未然形,ッス
X160	助動詞,*,*,*,特殊・デス,連用形,っす
X161	助動詞,*,*,*,特殊・デス,連用形,でぇす
X162	助動詞,*,*,*,特殊・デス,連用形,でしょう
X163	助動詞,*,*,*,特殊・デス,連用形,です
X164	助動詞,*,*,*,特殊・デス,連用形,でっす
X165	助動詞,*,*,*,特殊・デス,連用形,でーす
X166	助動詞,*,*,*,特殊・デス,連用形,で～す
X167	助動詞,*,*,*,特殊・デス,連用形,どす
X168	助動詞,*,*,*,特殊・ナイ,ガル接続,ない
X169	助動詞,*,*,*,特殊・ナイ,仮定形,ない
X170	助動詞,*,*,*,特殊・ナイ,仮定縮約１,ない
X171	助動詞,*,*,*,特殊・ナイ,仮定縮約２,ない
X172	助動詞,*,*,*,特殊・ナイ,体言接続,ない
X173	助動詞,*,*,*,特殊・ナイ,命令ｅ,ない
X174	助動詞,*,*,*,特殊・ナイ,基本形,なぁい
X175	助動詞,*,*,*,特殊・ナイ,基本形,ない
X176	助動詞,*,*,*,特殊・ナイ,基本形,なーい
X177	助動詞,*,*,*,特殊・ナイ,基本形,な～い
X178	助動詞,*,*,*,特殊・ナイ,文語基本形,ない
X179	助動詞,*,*,*,特殊・ナイ,未然ウ接続,ない
X180	助動詞,*,*,*,特殊・ナイ,未然ヌ接続,ない
X181	助動詞,*,*,*,特殊・ナイ,連用ゴザイ接続,ない
X182	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない
X183	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない
X184	助動詞,*,*,*,特殊・ナイ,連用デ接続,ない
X185	助動詞,*,*,*,特殊・ナイ,音便基本形,ない
X186	助動詞,*,*,*,特殊・ヌ,仮定形,ぬ
X187	助動詞,*,*,*,特殊・ヌ,体言接続,ぬ
X188	助動詞,*,*,*,特殊・ヌ,基本形,ぬ
X189	助動詞,*,*,*,特殊・ヌ,文語基本形,ぬ
X190	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ
X191	助動詞,*,*,*,特殊・ヌ,連用形,ぬ
X192	助動詞,*,*,*,特殊・マス,仮定形,まぁす
X193	助動詞,*,*,*,特殊・マス,仮定形,ます
X194	助動詞,*,*,*,特殊・マス,仮定形,まっす
X195	助動詞,*,*,*,特殊・マス,仮定形,まーす
X196	助動詞,*,*,*,特殊・マス,仮定形,ま～す
X197	助動詞,*,*,*,特殊・マス,仮定形,やす
X198	助動詞,*,*,*,特殊・マス,命令ｅ,まぁす
X199	助動詞,*,*,*,特殊・マス,命令ｅ,ます
X200	助動詞,*,*,*,特殊・マス,命令ｅ,まっす
X201	助動詞,*,*,*,特殊・マス,命令ｅ,まーす
X202	助動詞,*,*,*,特殊・マス,命令ｅ,ま～す
X203	助動詞,*,*,*,特殊・マス,命令ｅ,やす
X204	助動詞,*,*,*,特殊・マス,命令ｉ,まぁす
X205	助動詞,*,*,*,特殊・マス,命令ｉ,ます
X206	助動詞,*,*,*,特殊・マス,命令ｉ,まっす
X207	助動詞,*,*,*,特殊・マス,命令ｉ,まーす
X208	助動詞,*,*,*,特殊・マス,命令ｉ,ま～す
X209	助動詞,*,*,*,特殊・マス,命令ｉ,やす
X210	助動詞,*,*,*,特殊・マス,基本形,まぁす
X211	助動詞,*,*,*,特殊・マス,基本形,ます
X212	助動詞,*,*,*,特殊・マス,基本形,まっす
X213	助動詞,*,*,*,特殊・マス,基本形,まーす
X214	助動詞,*,*,*,特殊・マス,基本形,ま～す
X215	助動詞,*,*,*,特殊・マス,基本形,やす
X216	助動詞,*,*,*,特殊・マス,未然ウ接続,まぁす
X217	助動詞,*,*,*,特殊・マス,未然ウ接続,ます
X218	助動詞,*,*,*,特殊・マス,未然ウ接続,まっす
X219	助動詞,*,*,*,特殊・マス,未然ウ接続,まーす
X220	助動詞,*,*,*,特殊・マス,未然ウ接続,ま～す
X221	助動詞,*,*,*,特殊・マス,未然ウ接続,やす
X222	助動詞,*,*,*,特殊・マス,未然形,まぁす
X223	助動詞,*,*,*,特殊・マス,未然形,ます
X224	助動詞,*,*,*,特殊・マス,未然形,ますー
X225	助動詞,*,*,*,特殊・マス,未然形,ます～
X226	助動詞,*,*,*,特殊・マス,未然形,まっす
X227	助動詞,*,*,*,特殊・マス,未然形,まーす
X228	助動詞,*,*,*,特殊・マス,未然形,ま～す
X229	助動詞,*,*,*,特殊・マス,未然形,やす
X230	助動詞,*,*,*,特殊・マス,連用形,まぁす
X231	助動詞,*,*,*,特殊・マス,連用形,ます
X232	助動詞,*,*,*,特殊・マス,連用形,まっす
X233	助動詞,*,*,*,特殊・マス,連用形,まーす
X234	助動詞,*,*,*,特殊・マス,連用形,ま～す
X235	助動詞,*,*,*,特殊・マス,連用形,やす
X236	助動詞,*,*,*,特殊・ヤ,基本形,や
X237	助動詞,*,*,*,特殊・ヤ,未然形,や
X238	助動詞,*,*,*,特殊・ヤ,連用形,や
J0	助詞,並立助詞,*,*,*,*,たり
J1	助詞,並立助詞,*,*,*,*,だの
J2	助詞,並立助詞,*,*,*,*,だり
J3	助詞,並立助詞,*,*,*,*,と
J4	助詞,並立助詞,*,*,*,*,とか
J5	助詞,並立助詞,*,*,*,*,なり
J6	助詞,並立助詞,*,*,*,*,や
J7	助詞,並立助詞,*,*,*,*,やら
J8	助詞,並立助詞,*,*,*,*,トカ
J9	助詞,係助詞,*,*,*,*,こそ
J10	助詞,係助詞,*,*,*,*,さえ
J11	助詞,係助詞,*,*,*,*,しか
J12	助詞,係助詞,*,*,*,*,すら
J13	助詞,係助詞,*,*,*,*,ぞ
J14	助詞,係助詞,*,*,*,*,っきゃ
J15	助詞,係助詞,*,*,*,*,は
J16	助詞,係助詞,*,*,*,*,も
J17	助詞,係助詞,*,*,*,*,や
J18	助詞,係助詞,*,*,*,*,やいかに
J19	助詞,係助詞,*,*,*,*,や如何に
J20	助詞,副助詞,*,*,*,*,かも
J21	助詞,副助詞,*,*,*,*,くらい
J22	助詞,副助詞,*,*,*,*,ぐらい
J23	助詞,副助詞,*,*,*,*,しも
J24	助詞,副助詞,*,*,*,*,じゃ
J25	助詞,副助詞,*,*,*,*,じゃあ
J26	助詞,副助詞,*,*,*,*,じゃァ
J27	助詞,副助詞,*,*,*,*,ずつ
J28	助詞,副助詞,*,*,*,*,だけ
J29	助詞,副助詞,*,*,*,*,だって
J30	助詞,副助詞,*,*,*,*,だに
J31	助詞,副助詞,*,*,*,*,でも
J32	助詞,副助詞,*,*,*,*,とも
J33	助詞,副助詞,*,*,*,*,なぞ
J34	助詞,副助詞,*,*,*,*,など
J35	助詞,副助詞,*,*,*,*,なり
J36	助詞,副助詞,*,*,*,*,なんか
J37	助詞,副助詞,*,*,*,*,なんざ
J38	助詞,副助詞,*,*,*,*,なんぞ
J39	助詞,副助詞,*,*,*,*,なんて
J40	助詞,副助詞,*,*,*,*,のみ
J41	助詞,副助詞,*,*,*,*,ばかし
J42	助詞,副助詞,*,*,*,*,ばかり
J43	助詞,副助詞,*,*,*,*,ばっか
J44	助詞,副助詞,*,*,*,*,ばっかり
J45	助詞,副助詞,*,*,*,*,ほど
J46	助詞,副助詞,*,*,*,*,まで
J47	助詞,副助詞,*,*,*,*,やら
J48	助詞,副助詞,*,*,*,*,ダケ
J49	助詞,副助詞,*,*,*,*,ナド
J50	助詞,副助詞,*,*,*,*,ナンゾ
J51	助詞,副助詞,*,*,*,*,ナンテ
J52	助詞,副助詞,*,*,*,*,バカリ
J53	助詞,副助詞,*,*,*,*,バッカリ
J54	助詞,副助詞,*,*,*,*,マデ
J55	助詞,副助詞,*,*,*,*,程
J56	助詞,副助詞,*,*,*,*,迄
J57	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か
J58	助詞,副詞化,*,*,*,*,と
J59	助詞,副詞化,*,*,*,*,に
J60	助詞,助詞連続,*,*,*,*,はね
J61	助詞,接続助詞,*,*,*,*,および
J62	助詞,接続助詞,*,*,*,*,から
J63	助詞,接続助詞,*,*,*,*,からには
J64	助詞,接続助詞,*,*,*,*,が
J65	助詞,接続助詞,*,*,*,*,がてら
J66	助詞,接続助詞,*,*,*,*,けど
J67	助詞,接続助詞,*,*,*,*,けども
J68	助詞,接続助詞,*,*,*,*,けれど
J69	助詞,接続助詞,*,*,*,*,けれども
J70	助詞,接続助詞,*,*,*,*,さかい
J71	助詞,接続助詞,*,*,*,*,し
J72	助詞,接続助詞,*,*,*,*,じゃ
J73	助詞,接続助詞,*,*,*,*,じゃあ
J74	助詞,接続助詞,*,*,*,*,じゃー
J75	助詞,接続助詞,*,*,*,*,たって
J76	助詞,接続助詞,*,*,*,*,ちゃ
J77	助詞,接続助詞,*,*,*,*,ちゃあ
J78	助詞,接続助詞,*,*,*,*,ちゃー
J79	助詞,接続助詞,*,*,*,*,つつ
J80	助詞,接続助詞,*,*,*,*,て
J81	助詞,接続助詞,*,*,*,*,で
J82	助詞,接続助詞,*,*,*,*,と
J83	助詞,接続助詞,*,*,*,*,とも
J84	助詞,接続助詞,*,*,*,*,ど
J85	助詞,接続助詞,*,*,*,*,どころか
J86	助詞,接続助詞,*,*,*,*,ども
J87	助詞,接続助詞,*,*,*,*,ながら
J88	助詞,接続助詞,*,*,*,*,なり
J89	助詞,接続助詞,*,*,*,*,につけ
J90	助詞,接続助詞,*,*,*,*,にも
J91	助詞,接続助詞,*,*,*,*,ので
J92	助詞,接続助詞,*,*,*,*,のに
J93	助詞,接続助詞,*,*,*,*,ば
J94	助詞,接続助詞,*,*,*,*,ものの
J95	助詞,接続助詞,*,*,*,*,や
J96	助詞,接続助詞,*,*,*,*,やいなや
J97	助詞,接続助詞,*,*,*,*,んで
J98	助詞,接続助詞,*,*,*,*,ケド
J99	助詞,接続助詞,一般,*,*,*,に
J100	助詞,格助詞,一般,*,*,*,から
J101	助詞,格助詞,一般,*,*,*,が
J102	助詞,格助詞,一般,*,*,*,で
J103	助詞,格助詞,一般,*,*,*,と
J104	助詞,格助詞,一般,*,*,*,に
J105	助詞,格助詞,一般,*,*,*,にて
J106	助詞,格助詞,一般,*,*,*,の
J107	助詞,格助詞,一般,*,*,*,へ
J108	助詞,格助詞,一般,*,*,*,もの
J109	助詞,格助詞,一般,*,*,*,よか
J110	助詞,格助詞,一般,*,*,*,より
J111	助詞,格助詞,一般,*,*,*,を
J112	助詞,格助詞,一般,*,*,*,ん
J113	助詞,格助詞,一般,*,*,*,デ
J114	助詞,格助詞,一般,*,*,*,ノ
J115	助詞,格助詞,一般,*,*,*,ヘ
J116	助詞,格助詞,一般,*,*,*,ヲ
J117	助詞,格助詞,一般,*,*,*,之
J118	助詞,格助詞,引用,*,*,*,っと
J119	助詞,格助詞,引用,*,*,*,と
J120	助詞,格助詞,引用,*,*,*,ット
J121	助詞,格助詞,意志,*,*,*,と
J122	助詞,格助詞,連語,*,*,*,じゃ
J123	助詞,格助詞,連語,*,*,*,って
J124	助詞,格助詞,連語,*,*,*,っていう
J125	助詞,格助詞,連語,*,*,*,ってな
J126	助詞,格助詞,連語,*,*,*,ていう
J127	助詞,格助詞,連語,*,*,*,という
J128	助詞,格助詞,連語,*,*,*,とかいう
J129	助詞,格助詞,連語,*,*,*,について
J130	助詞,格助詞,連語,*,*,*,にとって
J131	助詞,特殊,*,*,*,*,かな
J132	助詞,特殊,*,*,*,*,けむ
J133	助詞,特殊,*,*,*,*,に
J134	助詞,特殊,*,*,*,*,にゃ
J135	助詞,特殊,*,*,*,*,ん
J136	助詞,特殊,*,*,*,*,ニャ
J137	助詞,終助詞,*,*,*,*,ぁ
J138	助詞,終助詞,*,*,*,*,ぃ
J139	助詞,終助詞,*,*,*,*,ぅ
J140	助詞,終助詞,*,*,*,*,ぇ
J141	助詞,終助詞,*,*,*,*,ぉ
J142	助詞,終助詞,*,*,*,*,かぁ
J143	助詞,終助詞,*,*,*,*,かしら
J144	助詞,終助詞,*,*,*,*,かな
J145	助詞,終助詞,*,*,*,*,け
J146	助詞,終助詞,*,*,*,*,さ
J147	助詞,終助詞,*,*,*,*,ぜ
J148	助詞,終助詞,*,*,*,*,だって
J149	助詞,終助詞,*,*,*,*,っ
J150	助詞,終助詞,*,*,*,*,っけ
J151	助詞,終助詞,*,*,*,*,てん
J152	助詞,終助詞,*,*,*,*,で
J153	助詞,終助詞,*,*,*,*,な
J154	助詞,終助詞,*,*,*,*,なう
J155	助詞,終助詞,*,*,*,*,ね
J156	助詞,終助詞,*,*,*,*,の
J157	助詞,終助詞,*,*,*,*,べ
J158	助詞,終助詞,*,*,*,*,もん
J159	助詞,終助詞,*,*,*,*,や
J160	助詞,終助詞,*,*,*,*,やら
J161	助詞,終助詞,*,*,*,*,ょ
J162	助詞,終助詞,*,*,*,*,よ
J163	助詞,終助詞,*,*,*,*,わ
J164	助詞,終助詞,*,*,*,*,ん
J165	助詞,連体化,*,*,*,*,の
V0	動詞,接尾,*,*,一段,仮定形,させる
V1	動詞,接尾,*,*,一段,仮定形,しめる
V2	動詞,接尾,*,*,一段,仮定形,せる
V3	動詞,接尾,*,*,一段,仮定形,られる
V4	動詞,接尾,*,*,一段,仮定形,れる
V5	動詞,接尾,*,*,一段,仮定形,付ける
V6	動詞,接尾,*,*,一段,仮定縮約１,させる
V7	動詞,接尾,*,*,一段,仮定縮約１,しめる
V8	動詞,接尾,*,*,一段,仮定縮約１,せる
V9	動詞,接尾,*,*,一段,仮定縮約１,られる
V10	動詞,接尾,*,*,一段,仮定縮約１,れる
V11	動詞,接尾,*,*,一段,仮定縮約１,付ける
V12	動詞,接尾,*,*,一段,体言接続特殊,させる
V13	動詞,接尾,*,*,一段,体言接続特殊,しめる
V14	動詞,接尾,*,*,一段,体言接続特殊,せる
V15	動詞,接尾,*,*,一段,体言接続特殊,られる
V16	動詞,接尾,*,*,一段,体言接続特殊,れる
V17	動詞,接尾,*,*,一段,体言接続特殊,付ける
V18	動詞,接尾,*,*,一段,命令ｒｏ,させる
V19	動詞,接尾,*,*,一段,命令ｒｏ,しめる
V20	動詞,接尾,*,*,一段,命令ｒｏ,せる
V21	動詞,接尾,*,*,一段,命令ｒｏ,られる
V22	動詞,接尾,*,*,一段,命令ｒｏ,れる
V23	動詞,接尾,*,*,一段,命令ｒｏ,付ける
V24	動詞,接尾,*,*,一段,命令ｙｏ,させる
V25	動詞,接尾,*,*,一段,命令ｙｏ,しめる
V26	動詞,接尾,*,*,一段,命令ｙｏ,せる
V27	動詞,接尾,*,*,一段,命令ｙｏ,られる
V28	動詞,接尾,*,*,一段,命令ｙｏ,れる
V29	動詞,接尾,*,*,一段,命令ｙｏ,付ける
V30	動詞,接尾,*,*,一段,基本形,させる
V31	動詞,接尾,*,*,一段,基本形,しめる
V32	動詞,接尾,*,*,一段,基本形,せる
V33	動詞,接尾,*,*,一段,基本形,られる
V34	動詞,接尾,*,*,一段,基本形,れる
V35	動詞,接尾,*,*,一段,基本形,付ける
V36	動詞,接尾,*,*,一段,未然ウ接続,させる
V37	動詞,接尾,*,*,一段,未然ウ接続,しめる
V38	動詞,接尾,*,*,一段,未然ウ接続,せる
V39	動詞,接尾,*,*,一段,未然ウ接続,られる
V40	動詞,接尾,*,*,一段,未然ウ接続,れる
V41	動詞,接尾,*,*,一段,未然ウ接続,付ける
V42	動詞,接尾,*,*,一段,未然形,させる
V43	動詞,接尾,*,*,一段,未然形,しめる
V44	動詞,接尾,*,*,一段,未然形,せる
V45	動詞,接尾,*,*,一段,未然形,られる
V46	動詞,接尾,*,*,一段,未然形,れる
V47	動詞,接尾,*,*,一段,未然形,付ける
V48	動詞,接尾,*,*,一段,連用形,させる
V49	動詞,接尾,*,*,一段,連用形,しめる
V50	動詞,接尾,*,*,一段,連用形,せる
V51	動詞,接尾,*,*,一段,連用形,られる
V52	動詞,接尾,*,*,一段,連用形,れる
V53	動詞,接尾,*,*,一段,連用形,付ける
V54	動詞,接尾,*,*,五段・サ行,仮定形,さす
V55	動詞,接尾,*,*,五段・サ行,仮定形,す
V56	動詞,接尾,*,*,五段・サ行,仮定形,剳す
V57	動詞,接尾,*,*,五段・サ行,仮定形,扠す
V58	動詞,接尾,*,*,五段・サ行,仮定形,扨す
V59	動詞,接尾,*,*,五段・サ行,仮定形,捺す
V60	動詞,接尾,*,*,五段・サ行,仮定形,箚す
V61	動詞,接尾,*,*,五段・サ行,仮定形,點す
V62	動詞,接尾,*,*,五段・サ行,仮定縮約１,さす
V63	動詞,接尾,*,*,五段・サ行,仮定縮約１,す
V64	動詞,接尾,*,*,五段・サ行,仮定縮約１,剳す
V65	動詞,接尾,*,*,五段・サ行,仮定縮約１,扠す
V66	動詞,接尾,*,*,五段・サ行,仮定縮約１,扨す
V67	動詞,接尾,*,*,五段・サ行,仮定縮約１,捺す
